,ds,y
10121,2020-03-30,19.19
10122,2020-03-31,14.85
10123,2020-04-01,14.97
10124,2020-04-02,20.24
10125,2020-04-03,24.33
10126,2020-04-06,22.58
10127,2020-04-07,22.1
10128,2020-04-08,25.22
10129,2020-04-09,20.23
10130,2020-04-13,20.23
10131,2020-04-14,21.74
10132,2020-04-15,19.8
10133,2020-04-16,18.69
10134,2020-04-17,19.75
10135,2020-04-20,17.36
10136,2020-04-21,9.12
10137,2020-04-22,13.77
10138,2020-04-23,15.06
10139,2020-04-24,15.87
10140,2020-04-27,15.17
10141,2020-04-28,15.6
10142,2020-04-29,17.86
10143,2020-04-30,18.11
10144,2020-05-01,18.49
10145,2020-05-04,20.4
10146,2020-05-05,25.46
10147,2020-05-06,24.2
10148,2020-05-07,24.23
10149,2020-05-11,25.53
10150,2020-05-12,26.67
10151,2020-05-13,27.89
10152,2020-05-14,29.87
10153,2020-05-15,30.95
10154,2020-05-18,33.3
10155,2020-05-19,33.06
10156,2020-05-20,34.76
10157,2020-05-21,34.78
10158,2020-05-22,33.8
10159,2020-05-25,33.8
10160,2020-05-26,33.95
10161,2020-05-27,32.73
10162,2020-05-28,33.98
10163,2020-05-29,34.15
10164,2020-06-01,36.74
10165,2020-06-02,37.72
10166,2020-06-03,37.98
10167,2020-06-04,38.41
10168,2020-06-05,41.0
10169,2020-06-08,39.66
10170,2020-06-09,40.45
10171,2020-06-10,41.18
10172,2020-06-11,37.76
10173,2020-06-12,38.54
10174,2020-06-15,39.44
10175,2020-06-16,40.75
10176,2020-06-17,40.47
10177,2020-06-18,41.75
10178,2020-06-19,42.33
10179,2020-06-22,43.2
10180,2020-06-23,42.72
10181,2020-06-24,40.4
10182,2020-06-25,41.18
10183,2020-06-26,40.97
10184,2020-06-29,41.58
10185,2020-06-30,41.64
10186,2020-07-01,42.18
10187,2020-07-02,43.19
10188,2020-07-03,42.92
10189,2020-07-06,42.73
10190,2020-07-07,43.28
10191,2020-07-08,43.67
10192,2020-07-09,42.35
10193,2020-07-10,43.27
10194,2020-07-13,42.85
10195,2020-07-14,42.97
10196,2020-07-15,43.96
10197,2020-07-16,43.71
10198,2020-07-17,43.53
10199,2020-07-20,43.3
10200,2020-07-21,44.31
10201,2020-07-22,43.98
10202,2020-07-23,42.96
10203,2020-07-24,43.29
10204,2020-07-27,43.39
10205,2020-07-28,43.11
10206,2020-07-29,43.51
10207,2020-07-30,42.98
10208,2020-07-31,43.13
10209,2020-08-03,43.76
10210,2020-08-04,43.99
10211,2020-08-05,44.92
10212,2020-08-06,45.04
10213,2020-08-07,44.07
10214,2020-08-10,44.19
10215,2020-08-11,43.68
10216,2020-08-12,45.09
10217,2020-08-13,44.87
10218,2020-08-14,44.86
10219,2020-08-17,44.91
10220,2020-08-18,45.34
10221,2020-08-19,45.21
10222,2020-08-20,44.56
10223,2020-08-21,43.94
10224,2020-08-24,44.43
10225,2020-08-25,46.01
10226,2020-08-26,45.79
10227,2020-08-27,44.84
10228,2020-08-28,45.22
10229,2020-09-01,45.72
10230,2020-09-02,42.7
10231,2020-09-03,42.72
10232,2020-09-04,41.1
10233,2020-09-07,40.67
10234,2020-09-08,38.53
10235,2020-09-09,39.98
10236,2020-09-10,39.27
10237,2020-09-11,38.8
10238,2020-09-12,38.57
10239,2020-09-13,39.54
10240,2020-09-14,38.57
10241,2020-09-15,39.54
10242,2020-09-16,41.23
10243,2020-09-17,42.35
10244,2020-09-18,42.16
10245,2020-09-19,40.37
10246,2020-09-21,40.37
10247,2020-09-22,40.84
10248,2020-09-23,41.09
10249,2020-09-24,41.24
10250,2020-09-25,40.91
10251,2020-09-28,41.59
10252,2020-09-29,40.33
10253,2020-09-30,40.3
10254,2020-10-01,39.75
10255,2020-10-02,38.0
10256,2020-10-05,39.78
10257,2020-10-06,41.27
10258,2020-10-07,40.62
10259,2020-10-08,42.0
10260,2020-10-09,41.63
10261,2020-10-12,40.5
10262,2020-10-13,41.34
10263,2020-10-14,41.81
10264,2020-10-15,41.61
10265,2020-10-16,41.34
10266,2020-10-19,41.29
10267,2020-10-20,41.62
10268,2020-10-21,40.09
10269,2020-10-22,41.28
10270,2020-10-23,40.71
10271,2020-10-26,39.06
10272,2020-10-27,39.72
10273,2020-10-28,37.86
10274,2020-10-29,36.56
10275,2020-10-30,36.33
10276,2020-11-02,37.78
10277,2020-11-03,38.17
10278,2020-11-04,39.68
10279,2020-11-05,39.47
10280,2020-11-06,38.08
10281,2020-11-09,40.93
10282,2020-11-10,42.25
10283,2020-11-11,42.5
10284,2020-11-12,42.16
10285,2020-11-13,41.51
10286,2020-11-16,42.71
10287,2020-11-17,42.54
10288,2020-11-18,42.91
10289,2020-11-19,43.09
10290,2020-11-20,43.79
10291,2020-11-23,45.0
10292,2020-11-24,46.63
10293,2020-11-25,47.3
10294,2020-11-26,46.32
10295,2020-11-27,46.88
10296,2020-11-30,46.84
10297,2020-12-01,47.03
10298,2020-12-02,47.8
10299,2020-12-03,48.37
10300,2020-12-04,49.1
10301,2020-12-07,48.63
10302,2020-12-08,48.84
10303,2020-12-09,48.81
10304,2020-12-10,50.33
10305,2020-12-11,50.01
10306,2020-12-14,50.27
10307,2020-12-18,52.17
10308,2020-12-21,50.61
10309,2020-12-22,49.88
10310,2020-12-23,51.05
10311,2020-12-24,50.88
10312,2020-12-28,50.88
10313,2020-12-29,50.44
10314,2020-12-30,50.74
10315,2020-12-31,51.22
10316,2021-01-04,50.37
10317,2021-01-05,53.16
10318,2021-01-06,53.8
10319,2021-01-07,53.7
10320,2021-01-08,55.51
10321,2021-01-11,54.84
10322,2021-01-12,55.98
10323,2021-01-13,55.52
10324,2021-01-14,55.76
10325,2021-01-15,54.8
10326,2021-01-18,54.21
10327,2021-01-19,55.38
10328,2021-01-20,55.66
10329,2021-01-21,55.68
10330,2021-01-22,55.22
10331,2021-01-25,55.44
10332,2021-01-26,55.26
10333,2021-01-27,55.07
10334,2021-01-28,54.87
10335,2021-01-29,55.25
10336,2021-02-01,56.42
10337,2021-02-02,57.62
10338,2021-02-03,58.61
10339,2021-02-04,58.98
10340,2021-02-05,59.48
10341,2021-02-08,60.17
10342,2021-02-09,60.74
10343,2021-02-10,61.17
10344,2021-02-11,61.09
10345,2021-02-12,62.47
10346,2021-02-15,63.58
10347,2021-02-16,63.96
10348,2021-02-17,65.02
10349,2021-02-18,64.09
10350,2021-02-19,62.84
10351,2021-02-22,64.73
10352,2021-02-23,65.16
10353,2021-02-24,66.85
10354,2021-02-25,66.69
10355,2021-02-26,65.86
10356,2021-03-01,64.56
10357,2021-03-02,63.17
10358,2021-03-03,64.7
10359,2021-03-04,67.32
10360,2021-03-05,69.95
10361,2021-03-08,68.0
10362,2021-03-09,67.03
10363,2021-03-10,67.53
10364,2021-03-11,69.34
10365,2021-03-12,68.87
10366,2021-03-15,68.78
10367,2021-03-16,67.95
10368,2021-03-17,67.73
10369,2021-03-18,62.11
10370,2021-03-19,64.0
10371,2021-03-22,63.89
10372,2021-03-23,59.96
10373,2021-03-24,63.7
10374,2021-03-25,61.21
10375,2021-03-26,63.77
10376,2021-03-29,64.06
